Date,Week,Marketplace,Product URL,Product ID,Pincode,Brand,Title,MRP,Selling Price,Discount %,Estimated Delivery Date,In Stock
2023-03-04,5,Ajio,https://www.ajio.com/p/464522887_beige,464522887_beige,581355,Amira S Indian Ethnic Wear,Striped Fit & Flare Gown,5399,1566,71,"{'S': '17 Mar', 'M': 'No Service', 'L': 'No Service', 'XL': 'No Service', 'XXL': 'No Service', '3XL': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464633219_peach,464633219_peach,581355,Riitih,Floral Print Tiered Dress,2499,550,78,"{'S': '17 Mar', 'M': '17 Mar', 'L': '17 Mar', 'XL': '17 Mar', 'XXL': '17 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464634840_multi,464634840_multi,581355,Cottinfab,Floral Print Fit & Flare Dress,3199,1184,63,"{'S': '16 Mar', 'M': '16 Mar', 'L': '16 Mar', 'XL': '16 Mar', 'XXL': '16 Mar', '3XL': '16 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464064394_blue,464064394_blue,581355,Janasya,Solid Fit and Flare Dress,2599,962,63,"{'XS': '17 Mar', 'S': '17 Mar', 'M': '17 Mar', 'L': '17 Mar', 'XL': '17 Mar', 'XXL': '17 Mar', '3XL': '17 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/463203934_blue,463203934_blue,581355,Jaipur Kurti,Striped Printed Fit and Flare Dress,2499,750,70,"{'S': '17 Mar', 'M': '17 Mar', 'L': '17 Mar', 'XL': '17 Mar', 'XXL': '17 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464912365_blue,464912365_blue,581355,Indibelle,Floral Print Fit & Flare Dress,2299,644,72,"{'S': 'No Service', 'M': 'No Service', 'L': '17 Mar', 'XL': 'No Service', 'XXL': '17 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587781002,464587781_blue,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,1299,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587752003,464587752_orange,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,699,46,"{'S': 'No Service', 'M': '10 Mar', 'L': '10 Mar', 'XL': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587616002,464587616_white,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,1299,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587757003,464587757_red,581355,Urbano Fashion,Slim Fit Shirt with Embroidered Logo ,1299,1299,,No Service,No
